Device,Order,NSamples,NTraces,NLabels,Time
GPU,4,1000,100000,64,18.82
GPU,8,1000,100000,64,34.99
GPU,16,1000,100000,64,67.88
GPU,32,1000,100000,64,133.87
GPU,64,1000,100000,64,265.62
GPU,2,100,10000,128,1.44
GPU,4,100,10000,128,2.76
GPU,8,100,10000,128,5.35
GPU,16,100,10000,128,10.24
GPU,32,100,10000,128,20.3
GPU,64,100,10000,128,40.2
GPU,2,500,10000,128,1.83
GPU,4,500,10000,128,3.28
GPU,8,500,10000,128,6.37
GPU,16,500,10000,128,12.18
GPU,32,500,10000,128,23.96
GPU,64,500,10000,128,47.44
GPU,2,1000,10000,128,2.08
GPU,4,1000,10000,128,3.77
GPU,8,1000,10000,128,7.02
GPU,16,1000,10000,128,13.72
GPU,32,1000,10000,128,26.84
GPU,64,1000,10000,128,53.44
GPU,2,100,20000,128,2.85
GPU,4,100,20000,128,5.55
GPU,8,100,20000,128,10.68
GPU,16,100,20000,128,20.64
GPU,32,100,20000,128,40.47
GPU,64,100,20000,128,80.29
GPU,2,500,20000,128,3.66
GPU,4,500,20000,128,6.56
GPU,8,500,20000,128,12.74
GPU,16,500,20000,128,24.55
GPU,32,500,20000,128,47.85
GPU,64,500,20000,128,95.31
GPU,2,1000,20000,128,4.11
GPU,4,1000,20000,128,7.45
GPU,8,1000,20000,128,14.15
GPU,16,1000,20000,128,27.31
GPU,32,1000,20000,128,53.75
GPU,64,1000,20000,128,106.25
GPU,2,100,50000,128,7.07
GPU,4,100,50000,128,13.83
GPU,8,100,50000,128,26.58
GPU,16,100,50000,128,51.03
GPU,32,100,50000,128,102.32
GPU,64,100,50000,128,200.01
GPU,2,500,50000,128,8.92
GPU,4,500,50000,128,16.27
GPU,8,500,50000,128,31.84
GPU,16,500,50000,128,61.04
GPU,32,500,50000,128,119.85
GPU,64,500,50000,128,238.9
GPU,2,1000,50000,128,9.95
GPU,4,1000,50000,128,18.64
GPU,8,1000,50000,128,35.08
GPU,16,1000,50000,128,68.24
GPU,32,1000,50000,128,134.17
GPU,64,1000,50000,128,266.14
GPU,2,100,100000,128,14.17
GPU,4,100,100000,128,27.54
GPU,8,100,100000,128,53.4
GPU,16,100,100000,128,102.27
GPU,32,100,100000,128,202.04
GPU,64,100,100000,128,405.99
GPU,2,500,100000,128,18.06
GPU,4,500,100000,128,32.68
GPU,8,500,100000,128,63.78
GPU,16,500,100000,128,123.02
GPU,32,500,100000,128,239.94
GPU,64,500,100000,128,476.54
GPU,2,1000,100000,128,20.19
GPU,4,1000,100000,128,38.18
GPU,8,1000,100000,128,70.4
GPU,16,1000,100000,128,136.13
GPU,32,1000,100000,128,268.19
GPU,64,1000,100000,128,530.46
