Device,Order,NSamples,NTraces,NLabels,Time,Memory
CPU,2,1000,20000,64,0.2796421992777778,62176
CPU,8,1000,20000,64,1.3176103110000001,62176
CPU,32,1000,20000,64,15.166841966000002,62176
CPU,64,1000,20000,64,80.82420137300001,62176
CPU,2,100,50000,64,0.08907665301754386,62176
CPU,8,100,50000,64,0.8020027890000001,62176
CPU,32,100,50000,64,3.0150246000000003,62176
CPU,64,100,50000,64,14.35130346,62176
CPU,2,500,50000,64,0.32140356800000003,62176
CPU,8,500,50000,64,1.5535942075,62176
CPU,32,500,50000,64,15.377487602,62176
CPU,64,500,50000,64,97.383199571,62176
CPU,2,1000,50000,64,0.652267049125,62176
CPU,8,1000,50000,64,3.121972416,62176
CPU,32,1000,50000,64,34.401735416,62176
CPU,64,1000,50000,64,201.01489118,62176
CPU,2,100,100000,64,0.17336345379310347,62176
CPU,8,100,100000,64,1.5808654735,62176
CPU,32,100,100000,64,6.301487885,62176
CPU,64,100,100000,64,28.879630673,62176
CPU,2,500,100000,64,0.6409574733750001,62176
CPU,8,500,100000,64,3.094624864,62176
CPU,32,500,100000,64,32.832663354000005,62176
CPU,64,500,100000,64,196.91946303600002,62176
CPU,2,1000,100000,64,1.2598793925,62176
CPU,8,1000,100000,64,6.474151180000001,62176
CPU,32,1000,100000,64,75.47235219000001,62176
CPU,64,1000,100000,64,404.08517724100005,62176
CPU,2,100,10000,128,0.042383996584745766,62176
CPU,8,100,10000,128,0.30703328911764705,62176
CPU,32,100,10000,128,3.1573009840000004,62176
CPU,64,100,10000,128,10.207165017000001,62176
CPU,2,500,10000,128,0.1650638305806452,62176
CPU,8,500,10000,128,0.8386183478333334,62176
CPU,32,500,10000,128,19.917690468,62176
CPU,64,500,10000,128,59.722750531,62176
CPU,2,1000,10000,128,0.31951123731250003,62176
CPU,8,1000,10000,128,1.6455372410000002,62176
CPU,32,1000,10000,128,43.297845335000005,62176
CPU,64,1000,10000,128,118.973279808,62176
CPU,2,100,20000,128,0.07942042039682541,62176
CPU,8,100,20000,128,0.5659868364444445,62176
CPU,32,100,20000,128,6.1485472770000005,62176
CPU,64,100,20000,128,20.549732903000002,62176
CPU,2,500,20000,128,0.3044486766470589,62176
CPU,8,500,20000,128,1.6783224952500002,62176
CPU,32,500,20000,128,39.762935565,62176
CPU,64,500,20000,128,119.05289940300001,62176
CPU,2,1000,20000,128,0.6036260637777778,62176
CPU,8,1000,20000,128,3.063056748,62176
CPU,32,1000,20000,128,85.971691499,62176
CPU,64,1000,20000,128,238.440125969,62176
CPU,2,100,50000,128,0.19869703353846155,62176
CPU,8,100,50000,128,1.5130611090000001,62176
CPU,32,100,50000,128,14.750957484,62176
CPU,64,100,50000,128,51.604745416,62176
CPU,2,500,50000,128,0.7280201455714286,62176
CPU,8,500,50000,128,3.9780952970000003,62176
CPU,32,500,50000,128,100.78717675600001,62176
