Device,Time,Memory,Order,NSamples,NTraces,"NLabels, type"
CPU,0.109477651804348,62176,2,10000,10000,4 vec label
CPU,0.387685581615385,62176,2,10000,50000,4 vec label
CPU,0.742838802571429,62176,2,10000,100000,4 vec label
CPU,1.49305939325,62176,2,10000,200000,4 vec label
CPU,3.7055707415,62176,2,10000,500000,4 vec label
CPU,0.00146371928588201,49024,4,50,10000,4 vec label
CPU,0.00413408449875931,49024,4,50,50000,4 vec label
CPU,0.00810497349756888,49024,4,50,100000,4 vec label
CPU,0.0155350575093168,49024,4,50,200000,4 vec label
CPU,0.038344372221374,49024,4,50,500000,4 vec label
CPU,0.00203558799306406,62176,4,100,10000,4 vec label
CPU,0.00689831551310345,62176,4,100,50000,4 vec label
CPU,0.0132889495543767,62176,4,100,100000,4 vec label
CPU,0.0263254191842105,62176,4,100,200000,4 vec label
CPU,0.064049823164557,62176,4,100,500000,4 vec label
CPU,0.0146855961554252,62176,4,1000,10000,4 vec label
CPU,0.0553389,62176,4,1000,50000,4 vec label
CPU,0.1016270545,62176,4,1000,100000,4 vec label
CPU,0.20048708184,62176,4,1000,200000,4 vec label
CPU,0.490395651090909,62176,4,1000,500000,4 vec label
CPU,0.0271756576956522,62176,4,2000,10000,4 vec label
CPU,0.105960724833333,62176,4,2000,50000,4 vec label
CPU,0.200412449,62176,4,2000,100000,4 vec label
CPU,0.390215557538462,62176,4,2000,200000,4 vec label
CPU,0.978489077333334,62176,4,2000,500000,4 vec label
CPU,0.0775175938,62176,4,5000,10000,4 vec label
CPU,0.25038121945,62176,4,5000,50000,4 vec label
CPU,0.480047518272727,62176,4,5000,100000,4 vec label
CPU,0.967773167833333,62176,4,5000,200000,4 vec label
CPU,2.37375663,62176,4,5000,500000,4 vec label
CPU,0.126018079225,62176,4,10000,10000,4 vec label
CPU,0.494074425454546,62176,4,10000,50000,4 vec label
CPU,0.947511955833334,62176,4,10000,100000,4 vec label
CPU,1.89270266166667,62176,4,10000,200000,4 vec label
CPU,4.7196063615,62176,4,10000,500000,4 vec label
CPU,0.00320371365041693,49024,8,50,10000,4 vec label
CPU,0.01214771825,49024,8,50,50000,4 vec label
CPU,0.0255003500913706,49024,8,50,100000,4 vec label
CPU,0.049433111127451,49024,8,50,200000,4 vec label
CPU,0.112311867488889,49024,8,50,500000,4 vec label
CPU,0.00356618578515346,62176,8,100,10000,4 vec label
CPU,0.0144025479510086,62176,8,100,50000,4 vec label
CPU,0.0271832720652174,62176,8,100,100000,4 vec label
CPU,0.0553038554615385,62176,8,100,200000,4 vec label
CPU,0.134493467447368,62176,8,100,500000,4 vec label
CPU,0.0222684985111111,62176,8,1000,10000,4 vec label
CPU,0.0863798037758621,62176,8,1000,50000,4 vec label
CPU,0.162178747677419,62176,8,1000,100000,4 vec label
CPU,0.315470244625,62176,8,1000,200000,4 vec label
CPU,0.798687613857143,62176,8,1000,500000,4 vec label
CPU,0.0403456845887097,62176,8,2000,10000,4 vec label
CPU,0.166920708066667,62176,8,2000,50000,4 vec label
CPU,0.316085840875,62176,8,2000,100000,4 vec label
CPU,0.615320280111111,62176,8,2000,200000,4 vec label
CPU,1.5276093995,62176,8,2000,500000,4 vec label
CPU,0.0972085307692308,62176,8,5000,10000,4 vec label
CPU,0.385990037230769,62176,8,5000,50000,4 vec label
CPU,0.770165879571429,62176,8,5000,100000,4 vec label
CPU,1.473533237,62176,8,5000,200000,4 vec label
CPU,3.648633779,62176,8,5000,500000,4 vec label
CPU,0.190808141185185,62176,8,10000,10000,4 vec label
CPU,0.771259003857143,62176,8,10000,50000,4 vec label
CPU,1.51944309925,62176,8,10000,100000,4 vec label
CPU,2.9251237035,62176,8,10000,200000,4 vec label
CPU,0.00676352861434371,49024,16,50,10000,4 vec label
CPU,0.03141121603125,49024,16,50,50000,4 vec label
