Device,Order,NSamples,NTraces,NLabels,Time
GPU,2,1000,20000,32,0.134
GPU,4,1000,20000,32,0.16
GPU,8,1000,20000,32,0.206
GPU,16,1000,20000,32,0.302
GPU,32,1000,20000,32,0.544
GPU,64,1000,20000,32,3
GPU,2,100,50000,32,0.007
GPU,4,100,50000,32,0.013
GPU,8,100,50000,32,0.023
GPU,16,100,50000,32,0.047
GPU,32,100,50000,32,0.094
GPU,64,100,50000,32,0.215
GPU,2,500,50000,32,0.086
GPU,4,500,50000,32,0.114
GPU,8,500,50000,32,0.175
GPU,16,500,50000,32,0.288
GPU,32,500,50000,32,0.521
GPU,64,500,50000,32,1
GPU,2,1000,50000,32,0.225
GPU,4,1000,50000,32,0.273
GPU,8,1000,50000,32,0.394
GPU,16,1000,50000,32,0.621
GPU,32,1000,50000,32,1
GPU,64,1000,50000,32,2
GPU,2,100,100000,32,0.016
GPU,4,100,100000,32,0.027
GPU,8,100,100000,32,0.049
GPU,16,100,100000,32,0.097
GPU,32,100,100000,32,0.191
GPU,64,100,100000,32,0.401
GPU,2,500,100000,32,0.151
GPU,4,500,100000,32,0.21
GPU,8,500,100000,32,0.323
GPU,16,500,100000,32,0.557
GPU,32,500,100000,32,1
GPU,64,500,100000,32,2
GPU,2,1000,100000,32,0.488
GPU,4,1000,100000,32,0.566
GPU,8,1000,100000,32,0.805
GPU,16,1000,100000,32,1
GPU,32,1000,100000,32,2
GPU,64,1000,100000,32,4
GPU,2,100,10000,64,0.005
GPU,4,100,10000,64,0.007
GPU,8,100,10000,64,0.012
GPU,16,100,10000,64,0.029
GPU,32,100,10000,64,0.178
GPU,64,100,10000,64,0.554
GPU,2,500,10000,64,0.069
GPU,4,500,10000,64,0.081
GPU,8,500,10000,64,0.105
GPU,16,500,10000,64,0.199
GPU,32,500,10000,64,0.991
GPU,64,500,10000,64,3
GPU,2,1000,10000,64,0.173
GPU,4,1000,10000,64,0.197
GPU,8,1000,10000,64,0.247
GPU,16,1000,10000,64,0.444
GPU,32,1000,10000,64,2
GPU,64,1000,10000,64,6
GPU,2,100,20000,64,0.01
GPU,4,100,20000,64,0.014
GPU,8,100,20000,64,0.023
GPU,16,100,20000,64,0.043
GPU,32,100,20000,64,0.135
GPU,64,100,20000,64,0.817
GPU,2,500,20000,64,0.137
GPU,4,500,20000,64,0.16
GPU,8,500,20000,64,0.209
GPU,16,500,20000,64,0.309
GPU,32,500,20000,64,0.804
GPU,64,500,20000,64,4
GPU,2,1000,20000,64,0.333
GPU,4,1000,20000,64,0.384
GPU,8,1000,20000,64,0.483
GPU,16,1000,20000,64,0.673
GPU,32,1000,20000,64,1
GPU,64,1000,20000,64,9
GPU,2,100,50000,64,0.017
GPU,4,100,50000,64,0.027
GPU,8,100,50000,64,0.052
GPU,16,100,50000,64,0.1
GPU,32,100,50000,64,0.206
GPU,64,100,50000,64,1
GPU,2,500,50000,64,0.249
GPU,4,500,50000,64,0.307
GPU,8,500,50000,64,0.465
GPU,16,500,50000,64,0.678
GPU,32,500,50000,64,1
GPU,64,500,50000,64,5
GPU,2,1000,50000,64,0.596
GPU,4,1000,50000,64,0.697
GPU,8,1000,50000,64,0.941
GPU,16,1000,50000,64,1
GPU,32,1000,50000,64,2
GPU,64,1000,50000,64,11
GPU,2,100,100000,64,0.033
GPU,4,100,100000,64,0.055
GPU,8,100,100000,64,0.105
GPU,16,100,100000,64,0.201
GPU,32,100,100000,64,0.401
GPU,64,100,100000,64,1
GPU,2,500,100000,64,0.547
GPU,4,500,100000,64,0.666
GPU,8,500,100000,64,0.902
GPU,16,500,100000,64,1
GPU,32,500,100000,64,2
GPU,64,500,100000,64,8
GPU,2,1000,100000,64,1
GPU,4,1000,100000,64,1
GPU,8,1000,100000,64,2
GPU,16,1000,100000,64,3
GPU,32,1000,100000,64,5
GPU,64,1000,100000,64,16
GPU,2,100,10000,128,0.017
GPU,4,100,10000,128,0.022
GPU,8,100,10000,128,0.032
GPU,16,100,10000,128,0.115
GPU,32,100,10000,128,0.513
GPU,64,100,10000,128,1
GPU,2,500,10000,128,0.169
GPU,4,500,10000,128,0.191
GPU,8,500,10000,128,0.247
GPU,16,500,10000,128,0.697
GPU,32,500,10000,128,2
GPU,64,500,10000,128,8
GPU,2,1000,10000,128,0.384
GPU,4,1000,10000,128,0.439
GPU,8,1000,10000,128,0.546
GPU,16,1000,10000,128,1
GPU,32,1000,10000,128,5
GPU,64,1000,10000,128,16
GPU,2,100,20000,128,0.031
GPU,4,100,20000,128,0.04
GPU,8,100,20000,128,0.06
GPU,16,100,20000,128,0.116
GPU,32,100,20000,128,0.651
GPU,64,100,20000,128,2
GPU,2,500,20000,128,0.33
GPU,4,500,20000,128,0.379
GPU,8,500,20000,128,0.478
GPU,16,500,20000,128,0.787
GPU,32,500,20000,128,3
GPU,64,500,20000,128,13
GPU,2,1000,20000,128,0.744
GPU,4,1000,20000,128,0.848
GPU,8,1000,20000,128,1
GPU,16,1000,20000,128,1
GPU,32,1000,20000,128,7
GPU,64,1000,20000,128,26
GPU,2,100,50000,128,0.05
GPU,4,100,50000,128,0.075
GPU,8,100,50000,128,0.124
GPU,16,100,50000,128,0.231
GPU,32,100,50000,128,0.962
GPU,64,100,50000,128,4
GPU,2,500,50000,128,0.694
GPU,4,500,50000,128,0.824
GPU,8,500,50000,128,1
GPU,16,500,50000,128,1
GPU,32,500,50000,128,5
GPU,64,500,50000,128,25
GPU,2,1000,50000,128,1
